Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player_links,BBrefID
Johnny High,1980,1984,G,6-3,185.0,"April 25, 1957",Nevada,https://www.basketball-reference.com/players/h/highjo01.html,highjo01
Haywood Highsmith,2019,2019,F,6-7,220.0,"December 9, 1996",Wheeling Jesuit,https://www.basketball-reference.com/players/h/highsha01.html,highsha01
Wayne Hightower,1963,1972,F-C,6-8,192.0,"January 14, 1940",Kansas,https://www.basketball-reference.com/players/h/hightwa01.html,hightwa01
Nenê Hilário,2003,2019,F-C,6-11,250.0,"September 13, 1982",,https://www.basketball-reference.com/players/h/hilarne01.html,hilarne01
Armond Hill,1977,1984,G,6-4,190.0,"March 31, 1953",Princeton,https://www.basketball-reference.com/players/h/hillar01.html,hillar01
Cleo Hill,1962,1962,G,6-1,185.0,"May 24, 1938",Winston-Salem State,https://www.basketball-reference.com/players/h/hillcl01.html,hillcl01
Gary Hill,1964,1965,G,6-4,185.0,"October 7, 1941",Oklahoma City University,https://www.basketball-reference.com/players/h/hillga01.html,hillga01
George Hill,2009,2020,G,6-3,188.0,"May 4, 1986",IUPUI,https://www.basketball-reference.com/players/h/hillge01.html,hillge01
Grant Hill*,1995,2013,F-G,6-8,225.0,"October 5, 1972",Duke,https://www.basketball-reference.com/players/h/hillgr01.html,hillgr01
Jordan Hill,2010,2017,C-F,6-10,235.0,"July 27, 1987",Arizona,https://www.basketball-reference.com/players/h/hilljo01.html,hilljo01
Simmie Hill,1970,1974,F,6-7,233.0,"November 14, 1946",West Texas A&M University,https://www.basketball-reference.com/players/h/hillsi01.html,hillsi01
Solomon Hill,2014,2020,F,6-6,226.0,"March 18, 1991",Arizona,https://www.basketball-reference.com/players/h/hillso01.html,hillso01
Steven Hill,2009,2009,C,7-0,248.0,"November 14, 1985",Arkansas,https://www.basketball-reference.com/players/h/hillst01.html,hillst01
Tyrone Hill,1991,2004,F,6-9,240.0,"March 19, 1968",Xavier,https://www.basketball-reference.com/players/h/hillty01.html,hillty01
Art Hillhouse,1947,1948,C,6-7,220.0,"June 12, 1916",Long Island University,https://www.basketball-reference.com/players/h/hillhar01.html,hillhar01
Darrun Hilliard,2016,2018,G,6-6,205.0,"April 13, 1993",Villanova,https://www.basketball-reference.com/players/h/hillida01.html,hillida01
Darnell Hillman,1972,1980,F-C,6-9,215.0,"August 29, 1949",San Jose State,https://www.basketball-reference.com/players/h/hillmda01.html,hillmda01
Fred Hilton,1972,1973,G-F,6-3,185.0,"January 15, 1948",Grambling State University,https://www.basketball-reference.com/players/h/hiltofr01.html,hiltofr01
Kirk Hinrich,2004,2016,G,6-4,190.0,"January 2, 1981",Kansas,https://www.basketball-reference.com/players/h/hinriki01.html,hinriki01
Roy Hinson,1984,1991,F-C,6-9,210.0,"May 2, 1961",Rutgers University,https://www.basketball-reference.com/players/h/hinsoro01.html,hinsoro01
Mel Hirsch,1947,1947,G,5-6,165.0,"July 31, 1921",Brooklyn College,https://www.basketball-reference.com/players/h/hirscme01.html,hirscme01
Lew Hitch,1952,1957,F-C,6-8,200.0,"July 16, 1929",Kansas State,https://www.basketball-reference.com/players/h/hitchle01.html,hitchle01
Robert Hite,2007,2007,G,6-2,184.0,"January 12, 1984",Miami (FL),https://www.basketball-reference.com/players/h/hitero01.html,hitero01
Jaylen Hoard,2020,2020,F,6-8,216.0,"March 30, 1999",Wake Forest,https://www.basketball-reference.com/players/h/hoardja01.html,hoardja01
Darington Hobson,2012,2012,G,6-7,210.0,"September 29, 1987",New Mexico,https://www.basketball-reference.com/players/h/hobsoda01.html,hobsoda01
Donald Hodge,1992,1996,C,7-0,230.0,"February 25, 1969",Temple,https://www.basketball-reference.com/players/h/hodgedo01.html,hodgedo01
Julius Hodge,2006,2007,G,6-7,210.0,"November 18, 1983",NC State,https://www.basketball-reference.com/players/h/hodgeju01.html,hodgeju01
Craig Hodges,1983,1992,G,6-2,190.0,"June 27, 1960",Cal State Long Beach,https://www.basketball-reference.com/players/h/hodgecr01.html,hodgecr01
Charlie Hoefer,1947,1948,G,5-9,158.0,"September 16, 1921",Queens College,https://www.basketball-reference.com/players/h/hoefech01.html,hoefech01
Paul Hoffman,1948,1955,G-F,6-2,195.0,"April 12, 1925",Purdue,https://www.basketball-reference.com/players/h/hoffmpa01.html,hoffmpa01
Bob Hogsett,1967,1968,F,6-7,230.0,"January 29, 1941",Tennessee,https://www.basketball-reference.com/players/h/hogsebo01.html,hogsebo01
Paul Hogue,1963,1964,C,6-9,240.0,"April 28, 1940",Cincinnati,https://www.basketball-reference.com/players/h/hoguedu01.html,hoguedu01
Fred Hoiberg,1996,2005,G,6-4,203.0,"October 15, 1972",Iowa State,https://www.basketball-reference.com/players/h/hoibefr01.html,hoibefr01
Doug Holcomb,1949,1949,F,6-4,200.0,"February 9, 1925",Wisconsin,https://www.basketball-reference.com/players/h/holcodo01.html,holcodo01
Randy Holcomb,2006,2006,F,6-9,225.0,"August 8, 1979","Fresno State, San Diego State",https://www.basketball-reference.com/players/h/holcora01.html,holcora01
Aaron Holiday,2019,2020,G,6-0,185.0,"September 30, 1996",UCLA,https://www.basketball-reference.com/players/h/holidaa01.html,holidaa01
Jrue Holiday,2010,2020,G,6-3,205.0,"June 12, 1990",UCLA,https://www.basketball-reference.com/players/h/holidjr01.html,holidjr01
Justin Holiday,2013,2020,F,6-6,180.0,"April 5, 1989",Washington,https://www.basketball-reference.com/players/h/holidju01.html,holidju01
Brad Holland,1980,1982,G,6-3,180.0,"December 6, 1956",UCLA,https://www.basketball-reference.com/players/h/hollabr01.html,hollabr01
Joe Holland,1950,1952,F,6-4,185.0,"September 26, 1925",Kentucky,https://www.basketball-reference.com/players/h/hollajo01.html,hollajo01
John Holland,2018,2019,G-F,6-5,205.0,"November 6, 1988",Boston University,https://www.basketball-reference.com/players/h/hollajo02.html,hollajo02
Wilbur Holland,1976,1979,G,6-0,175.0,"November 8, 1951",New Orleans,https://www.basketball-reference.com/players/h/hollawi01.html,hollawi01
Lionel Hollins,1976,1985,G,6-3,185.0,"October 19, 1953",Arizona State,https://www.basketball-reference.com/players/h/hollili01.html,hollili01
Ryan Hollins,2007,2016,C,7-0,240.0,"October 10, 1984",UCLA,https://www.basketball-reference.com/players/h/holliry01.html,holliry01
Essie Hollis,1979,1979,F,6-6,195.0,"May 16, 1955",St. Bonaventure,https://www.basketball-reference.com/players/h/hollies01.html,hollies01
Rondae Hollis-Jefferson,2016,2020,F,6-6,217.0,"January 3, 1995",Arizona,https://www.basketball-reference.com/players/h/holliro01.html,holliro01
Dennis Holman,1968,1968,G,6-3,175.0,"October 8, 1945",SMU,https://www.basketball-reference.com/players/h/holmade01.html,holmade01
Richaun Holmes,2016,2020,F-C,6-10,235.0,"October 15, 1993",Bowling Green,https://www.basketball-reference.com/players/h/holmeri01.html,holmeri01
Jim Holstein,1953,1956,F-G,6-3,180.0,"September 24, 1930",Cincinnati,https://www.basketball-reference.com/players/h/holstji01.html,holstji01
A.W. Holt,1971,1971,F,6-7,210.0,"August 26, 1946",Jackson State University,https://www.basketball-reference.com/players/h/holtaw01.html,holtaw01
Michael Holton,1985,1990,G,6-4,185.0,"August 4, 1961",UCLA,https://www.basketball-reference.com/players/h/holtomi01.html,holtomi01
Dick Holub,1948,1948,C,6-6,205.0,"October 29, 1921",Long Island University,https://www.basketball-reference.com/players/h/holubdi01.html,holubdi01
Joe Holup,1957,1959,F,6-6,215.0,"February 26, 1934",George Washington,https://www.basketball-reference.com/players/h/holupjo01.html,holupjo01
Red Holzman*,1949,1954,G,5-10,175.0,"August 10, 1920",City College of New York,https://www.basketball-reference.com/players/h/holzmre01.html,holzmre01
Jerald Honeycutt,1998,1999,F-G,6-9,245.0,"October 20, 1974",Tulane,https://www.basketball-reference.com/players/h/honeyje01.html,honeyje01
Tyler Honeycutt,2012,2013,F,6-8,188.0,"July 15, 1990",UCLA,https://www.basketball-reference.com/players/h/honeyty01.html,honeyty01
Derek Hood,2000,2000,F,6-8,222.0,"December 22, 1976",Arkansas,https://www.basketball-reference.com/players/h/hoodde01.html,hoodde01
Rodney Hood,2015,2020,G-F,6-8,208.0,"October 20, 1992","Mississippi State, Duke",https://www.basketball-reference.com/players/h/hoodro01.html,hoodro01
Bobby Hooper,1969,1969,G,6-0,180.0,"December 22, 1946",Dayton,https://www.basketball-reference.com/players/h/hoopebo01.html,hoopebo01
Carroll Hooser,1968,1968,F,6-7,230.0,"March 5, 1944",SMU,https://www.basketball-reference.com/players/h/hooseca01.html,hooseca01
Tom Hoover,1964,1969,C,6-9,230.0,"January 23, 1941",Villanova,https://www.basketball-reference.com/players/h/hooveto01.html,hooveto01
Bob Hopkins,1957,1960,C-F,6-8,205.0,"November 3, 1934",Grambling State University,https://www.basketball-reference.com/players/h/hopkibo01.html,hopkibo01
Dave Hoppen,1988,1993,C-F,6-11,235.0,"March 13, 1964",Nebraska,https://www.basketball-reference.com/players/h/hoppeda01.html,hoppeda01
Dennis Hopson,1988,1992,G-F,6-5,200.0,"April 22, 1965",Ohio State,https://www.basketball-reference.com/players/h/hopsode01.html,hopsode01
Scotty Hopson,2014,2018,G,6-7,204.0,"August 8, 1989",Tennessee,https://www.basketball-reference.com/players/h/hopsosc01.html,hopsosc01
Johnny Horan,1956,1956,F,6-8,190.0,"November 24, 1932",Dayton,https://www.basketball-reference.com/players/h/horanjo01.html,horanjo01
Cedrick Hordges,1981,1982,F-C,6-8,220.0,"January 8, 1957","Auburn, South Carolina",https://www.basketball-reference.com/players/h/hordgce01.html,hordgce01
Al Horford,2008,2020,C-F,6-9,240.0,"June 3, 1986",Florida,https://www.basketball-reference.com/players/h/horfoal01.html,horfoal01
Tito Horford,1989,1994,C,7-1,245.0,"January 19, 1966",Miami (FL),https://www.basketball-reference.com/players/h/horfoti01.html,horfoti01
Ron Horn,1962,1968,F,6-7,220.0,"May 24, 1938",Indiana,https://www.basketball-reference.com/players/h/hornro01.html,hornro01
Jeff Hornacek,1987,2000,G,6-3,190.0,"May 3, 1963",Iowa State,https://www.basketball-reference.com/players/h/hornaje01.html,hornaje01
Dennis Horner,2012,2012,F,6-9,230.0,"February 5, 1988",NC State,https://www.basketball-reference.com/players/h/hornede01.html,hornede01
Robert Horry,1993,2008,F,6-10,240.0,"August 25, 1970",Alabama,https://www.basketball-reference.com/players/h/horryro01.html,horryro01
Ed Horton,1990,1990,F,6-8,230.0,"December 17, 1967",Iowa,https://www.basketball-reference.com/players/h/hortoed01.html,hortoed01
Talen Horton-Tucker,2020,2020,G-F,6-4,234.0,"November 25, 2000",Iowa State,https://www.basketball-reference.com/players/h/hortota01.html,hortota01
Bill Hosket,1969,1972,F-C,6-8,225.0,"December 20, 1946",Ohio State,https://www.basketball-reference.com/players/h/hoskebi01.html,hoskebi01
Bob Houbregs*,1954,1958,C-F,6-8,225.0,"March 12, 1932",Washington,https://www.basketball-reference.com/players/h/houbrbo01.html,houbrbo01
Danuel House,2017,2020,G,6-6,220.0,"June 7, 1993",Texas A&M,https://www.basketball-reference.com/players/h/houseda01.html,houseda01
Eddie House,2001,2011,G,6-1,180.0,"May 14, 1978",Arizona State,https://www.basketball-reference.com/players/h/houseed01.html,houseed01
Allan Houston,1994,2005,G,6-6,200.0,"April 20, 1971",Tennessee,https://www.basketball-reference.com/players/h/houstal01.html,houstal01
Byron Houston,1993,1996,F,6-5,250.0,"November 22, 1969",Oklahoma State,https://www.basketball-reference.com/players/h/houstby01.html,houstby01
Tom Hovasse,1995,1995,F,6-8,205.0,"January 31, 1967",Penn State,https://www.basketball-reference.com/players/h/hovasto01.html,hovasto01
Brian Howard,1992,1993,F,6-6,204.0,"October 19, 1967",NC State,https://www.basketball-reference.com/players/h/howarbr01.html,howarbr01
Dwight Howard,2005,2020,C,6-10,265.0,"December 8, 1985",,https://www.basketball-reference.com/players/h/howardw01.html,howardw01
Greg Howard,1971,1972,F-C,6-9,215.0,"January 8, 1948",New Mexico,https://www.basketball-reference.com/players/h/howargr01.html,howargr01
Josh Howard,2004,2013,F-G,6-7,210.0,"April 28, 1980",Wake Forest,https://www.basketball-reference.com/players/h/howarjo01.html,howarjo01
Juwan Howard,1995,2013,F,6-9,240.0,"February 7, 1973",Michigan,https://www.basketball-reference.com/players/h/howarju01.html,howarju01
Mo Howard,1977,1977,G,6-2,170.0,"August 25, 1954",Maryland,https://www.basketball-reference.com/players/h/howarmo01.html,howarmo01
Otis Howard,1979,1979,F,6-7,220.0,"November 5, 1956",Austin Peay State University,https://www.basketball-reference.com/players/h/howarot01.html,howarot01
Stephen Howard,1993,1998,F,6-9,225.0,"July 15, 1970",DePaul,https://www.basketball-reference.com/players/h/howarst01.html,howarst01
William Howard,2020,2020,F,6-8,207.0,"October 25, 1993",,https://www.basketball-reference.com/players/h/howarwi01.html,howarwi01
Bailey Howell*,1960,1971,F,6-7,210.0,"January 20, 1937",Mississippi State,https://www.basketball-reference.com/players/h/howelba01.html,howelba01
Bob Hubbard,1948,1949,C-F,6-6,215.0,"December 27, 1922",Springfield College,https://www.basketball-reference.com/players/h/hubbabo01.html,hubbabo01
Phil Hubbard,1980,1989,F-C,6-8,215.0,"December 13, 1956",Michigan,https://www.basketball-reference.com/players/h/hubbaph01.html,hubbaph01
Lester Hudson,2010,2015,G,6-3,190.0,"August 7, 1984",University of Tennessee at Martin,https://www.basketball-reference.com/players/h/hudsole01.html,hudsole01
Lou Hudson,1967,1979,F-G,6-5,210.0,"July 11, 1944",Minnesota,https://www.basketball-reference.com/players/h/hudsolo01.html,hudsolo01
Troy Hudson,1998,2008,G,6-1,170.0,"March 13, 1976","Missouri, Southern Illinois",https://www.basketball-reference.com/players/h/hudsotr01.html,hudsotr01
Marcelo Huertas,2016,2017,G,6-3,200.0,"May 25, 1983",,https://www.basketball-reference.com/players/h/huertma01.html,huertma01
Kevin Huerter,2019,2020,G,6-7,190.0,"August 27, 1998",Maryland,https://www.basketball-reference.com/players/h/huertke01.html,huertke01
Josh Huestis,2016,2018,F,6-7,230.0,"December 19, 1991",Stanford,https://www.basketball-reference.com/players/h/huestjo01.html,huestjo01
Nate Huffman,2003,2003,C,7-1,245.0,"April 2, 1975",Central Michigan University,https://www.basketball-reference.com/players/h/huffmna01.html,huffmna01
Alfredrick Hughes,1986,1986,F-G,6-5,215.0,"July 19, 1962",Loyola Chicago,https://www.basketball-reference.com/players/h/hugheri01.html,hugheri01
Eddie Hughes,1988,1990,G,5-10,165.0,"May 26, 1960",Colorado State,https://www.basketball-reference.com/players/h/hugheed01.html,hugheed01
Kim Hughes,1976,1981,C,6-11,220.0,"June 4, 1952",Wisconsin,https://www.basketball-reference.com/players/h/hugheki01.html,hugheki01
Larry Hughes,1999,2012,G,6-5,184.0,"January 23, 1979",Saint Louis,https://www.basketball-reference.com/players/h/hughela01.html,hughela01
Rick Hughes,2000,2000,F,6-9,235.0,"August 22, 1973",Thomas More College,https://www.basketball-reference.com/players/h/hugheri02.html,hugheri02
Robbie Hummel,2014,2015,F,6-8,215.0,"March 8, 1989",Purdue,https://www.basketball-reference.com/players/h/hummero01.html,hummero01
John Hummer,1971,1976,F-C,6-9,230.0,"May 4, 1948",Princeton,https://www.basketball-reference.com/players/h/hummejo01.html,hummejo01
Ryan Humphrey,2003,2005,F,6-8,235.0,"July 24, 1979","Oklahoma, Notre Dame",https://www.basketball-reference.com/players/h/humphry01.html,humphry01
Isaac Humphries,2019,2019,C,7-0,255.0,"January 5, 1998",Kentucky,https://www.basketball-reference.com/players/h/humphis01.html,humphis01
Jay Humphries,1985,1995,G,6-3,185.0,"October 17, 1962",Colorado,https://www.basketball-reference.com/players/h/humphja01.html,humphja01
Kris Humphries,2005,2017,F-C,6-9,235.0,"February 6, 1985",Minnesota,https://www.basketball-reference.com/players/h/humphkr01.html,humphkr01
Hot Rod Hundley,1958,1963,G,6-4,185.0,"October 26, 1934",West Virginia,https://www.basketball-reference.com/players/h/hundlho01.html,hundlho01
Brandon Hunter,2004,2005,F,6-7,260.0,"November 24, 1980",Ohio University,https://www.basketball-reference.com/players/h/huntebr01.html,huntebr01
Cedric Hunter,1992,1992,G,6-0,180.0,"January 16, 1965",Kansas,https://www.basketball-reference.com/players/h/huntece01.html,huntece01
Chris Hunter,2010,2010,F,6-11,240.0,"July 7, 1984",Michigan,https://www.basketball-reference.com/players/h/huntech01.html,huntech01
De'Andre Hunter,2020,2020,F,6-7,225.0,"December 2, 1997",Virginia,https://www.basketball-reference.com/players/h/huntede01.html,huntede01
Les Hunter,1965,1973,F-C,6-7,210.0,"August 16, 1942",Loyola Chicago,https://www.basketball-reference.com/players/h/huntele01.html,huntele01
Lindsey Hunter,1994,2010,G,6-2,170.0,"December 3, 1970","Alcorn State, Jackson State University",https://www.basketball-reference.com/players/h/hunteli01.html,hunteli01
Othello Hunter,2009,2010,F,6-8,225.0,"May 28, 1986",Ohio State,https://www.basketball-reference.com/players/h/hunteot01.html,hunteot01
R.J. Hunter,2016,2019,G,6-5,185.0,"October 24, 1993",Georgia State University,https://www.basketball-reference.com/players/h/hunterj01.html,hunterj01
Steven Hunter,2002,2010,C,7-0,220.0,"October 31, 1981",DePaul,https://www.basketball-reference.com/players/h/huntest01.html,huntest01
Vince Hunter,2018,2018,F,6-8,208.0,"August 5, 1994",Texas-El Paso,https://www.basketball-reference.com/players/h/huntevi01.html,huntevi01
Bobby Hurley,1994,1998,G,6-0,165.0,"June 28, 1971",Duke,https://www.basketball-reference.com/players/h/hurlebo01.html,hurlebo01
Roy Hurley,1947,1947,F-G,6-2,170.0,"August 12, 1922",Murray State,https://www.basketball-reference.com/players/h/hurlero01.html,hurlero01
Geoff Huston,1980,1987,G,6-2,175.0,"November 8, 1957",Texas Tech,https://www.basketball-reference.com/players/h/hustoge01.html,hustoge01
Paul Huston,1948,1948,F,6-3,175.0,"June 2, 1925",Ohio State,https://www.basketball-reference.com/players/h/hustopa01.html,hustopa01
Mel Hutchins,1952,1958,F-C,6-6,200.0,"November 22, 1928",BYU,https://www.basketball-reference.com/players/h/hutchme01.html,hutchme01
Chandler Hutchison,2019,2020,G,6-7,210.0,"April 26, 1996",Boise State,https://www.basketball-reference.com/players/h/hutchch01.html,hutchch01
Joe Hutton,1951,1952,G,6-1,170.0,"October 6, 1928",Hamline University,https://www.basketball-reference.com/players/h/huttojo01.html,huttojo01
Greg Hyder,1971,1971,F,6-6,215.0,"June 21, 1948",Eastern New Mexico University,https://www.basketball-reference.com/players/h/hydergr01.html,hydergr01
Marc Iavaroni,1983,1989,F,6-8,210.0,"September 15, 1956",Virginia,https://www.basketball-reference.com/players/i/iavarma01.html,iavarma01
Serge Ibaka,2010,2020,F-C,7-0,235.0,"September 18, 1989",,https://www.basketball-reference.com/players/i/ibakase01.html,ibakase01
Andre Iguodala,2005,2020,G-F,6-6,215.0,"January 28, 1984",Arizona,https://www.basketball-reference.com/players/i/iguodan01.html,iguodan01
Zydrunas Ilgauskas,1998,2011,C,7-3,238.0,"June 5, 1975",,https://www.basketball-reference.com/players/i/ilgauzy01.html,ilgauzy01
Mile Ilić,2007,2007,C,7-1,230.0,"June 2, 1984",,https://www.basketball-reference.com/players/i/ilicmi01.html,ilicmi01
Didier Ilunga-Mbenga,2005,2011,C,7-0,245.0,"December 30, 1980",,https://www.basketball-reference.com/players/m/mbengdj01.html,mbengdj01
Ersan İlyasova,2007,2020,F,6-9,235.0,"May 15, 1987",,https://www.basketball-reference.com/players/i/ilyaser01.html,ilyaser01
Darrall Imhoff,1961,1972,C,6-10,220.0,"October 11, 1938",California,https://www.basketball-reference.com/players/i/imhofda01.html,imhofda01
Tom Ingelsby,1974,1976,G,6-3,180.0,"February 12, 1951",Villanova,https://www.basketball-reference.com/players/i/ingelto01.html,ingelto01
Joe Ingles,2015,2020,F-G,6-7,220.0,"October 2, 1987",,https://www.basketball-reference.com/players/i/inglejo01.html,inglejo01
Damien Inglis,2016,2016,F,6-8,246.0,"May 20, 1995",,https://www.basketball-reference.com/players/i/inglida01.html,inglida01
Andre Ingram,2018,2019,G,6-3,190.0,"November 19, 1985",American University,https://www.basketball-reference.com/players/i/ingraan01.html,ingraan01
Brandon Ingram,2017,2020,F,6-7,190.0,"September 2, 1997",Duke,https://www.basketball-reference.com/players/i/ingrabr01.html,ingrabr01
McCoy Ingram,1958,1958,F,6-8,210.0,"August 31, 1931",Jackson State University,https://www.basketball-reference.com/players/i/ingramc01.html,ingramc01
Ervin Inniger,1968,1969,G,6-4,190.0,"January 16, 1945",Indiana,https://www.basketball-reference.com/players/i/inniger01.html,inniger01
Byron Irvin,1990,1993,G,6-5,190.0,"December 2, 1966","Arkansas, Missouri",https://www.basketball-reference.com/players/i/irvinby01.html,irvinby01
George Irvine,1971,1976,F-G,6-6,200.0,"February 1, 1948",Washington,https://www.basketball-reference.com/players/i/irvinge01.html,irvinge01
Kyrie Irving,2012,2020,G,6-2,195.0,"March 23, 1992",Duke,https://www.basketball-reference.com/players/i/irvinky01.html,irvinky01
Jonathan Isaac,2018,2020,F,6-11,230.0,"October 3, 1997",Florida State,https://www.basketball-reference.com/players/i/isaacjo01.html,isaacjo01
Dan Issel*,1971,1985,C-F,6-9,235.0,"October 25, 1948",Kentucky,https://www.basketball-reference.com/players/i/isselda01.html,isselda01
Mike Iuzzolino,1992,1993,G,5-10,175.0,"January 22, 1968","Penn State, Saint Francis University",https://www.basketball-reference.com/players/i/iuzzomi01.html,iuzzomi01
Allen Iverson*,1997,2010,G,6-0,165.0,"June 7, 1975",Georgetown,https://www.basketball-reference.com/players/i/iversal01.html,iversal01
Willie Iverson,1969,1969,G,6-0,180.0,"October 8, 1945",Central Michigan University,https://www.basketball-reference.com/players/i/iverswi01.html,iverswi01
Royal Ivey,2005,2014,G,6-3,200.0,"December 20, 1981",Texas,https://www.basketball-reference.com/players/i/iveyro01.html,iveyro01
Elvin Ivory,1969,1969,F,6-8,210.0,"July 2, 1948",Louisiana,https://www.basketball-reference.com/players/i/ivoryel01.html,ivoryel01
Wesley Iwundu,2018,2020,F,6-6,195.0,"December 20, 1994",Kansas State,https://www.basketball-reference.com/players/i/iwundwe01.html,iwundwe01
Warren Jabali,1969,1975,G-F,6-2,200.0,"August 29, 1946",Wichita State,https://www.basketball-reference.com/players/j/jabalwa01.html,jabalwa01
Jarrett Jack,2006,2018,G,6-3,200.0,"October 28, 1983",Georgia Tech,https://www.basketball-reference.com/players/j/jackja01.html,jackja01
Aaron Jackson,2018,2018,G,6-4,185.0,"May 6, 1986",Duquesne,https://www.basketball-reference.com/players/j/jacksaa01.html,jacksaa01
Al Jackson,1968,1968,G,6-1,185.0,"July 29, 1943",Wilberforce University,https://www.basketball-reference.com/players/j/jacksal01.html,jacksal01
Bobby Jackson,1998,2009,G,6-1,185.0,"March 13, 1973",Minnesota,https://www.basketball-reference.com/players/j/jacksbo01.html,jacksbo01
Cedric Jackson,2010,2010,G,6-3,191.0,"March 5, 1986","St. John's, Cleveland State University",https://www.basketball-reference.com/players/j/jacksce01.html,jacksce01
Darnell Jackson,2009,2011,F,6-9,253.0,"November 7, 1985",Kansas,https://www.basketball-reference.com/players/j/jacksda01.html,jacksda01
Demetrius Jackson,2017,2019,G,6-1,201.0,"September 7, 1994",Notre Dame,https://www.basketball-reference.com/players/j/jacksde01.html,jacksde01
Frank Jackson,2019,2020,G,6-3,205.0,"May 4, 1998",Duke,https://www.basketball-reference.com/players/j/jacksfr01.html,jacksfr01
Greg Jackson,1975,1975,G,6-0,180.0,"August 2, 1952",Guilford College,https://www.basketball-reference.com/players/j/jacksgr01.html,jacksgr01
Jaren Jackson,1990,2002,G-F,6-4,190.0,"October 27, 1967",Georgetown,https://www.basketball-reference.com/players/j/jacksja01.html,jacksja01
Jaren Jackson,2019,2020,F,6-11,242.0,"September 15, 1999",Michigan State,https://www.basketball-reference.com/players/j/jacksja02.html,jacksja02
Jermaine Jackson,2000,2006,G,6-4,204.0,"June 7, 1976",Detroit Mercy,https://www.basketball-reference.com/players/j/jacksje01.html,jacksje01
Jim Jackson,1993,2006,G,6-6,220.0,"October 14, 1970",Ohio State,https://www.basketball-reference.com/players/j/jacksji01.html,jacksji01
Josh Jackson,2018,2020,F-G,6-8,207.0,"February 10, 1997",Kansas,https://www.basketball-reference.com/players/j/jacksjo02.html,jacksjo02
Justin Jackson,2018,2020,G-F,6-7,220.0,"March 28, 1995",UNC,https://www.basketball-reference.com/players/j/jacksju01.html,jacksju01
Luke Jackson,1965,1972,F-C,6-9,240.0,"October 31, 1941",University of Texas-Pan American,https://www.basketball-reference.com/players/j/jackslu01.html,jackslu01
Luke Jackson,2005,2008,F,6-7,215.0,"November 6, 1981",Oregon,https://www.basketball-reference.com/players/j/jackslu02.html,jackslu02
Marc Jackson,2001,2007,C,6-10,270.0,"January 16, 1975","VCU, Temple",https://www.basketball-reference.com/players/j/jacksma02.html,jacksma02
Mark Jackson,1988,2004,G,6-1,180.0,"April 1, 1965",St. John's,https://www.basketball-reference.com/players/j/jacksma01.html,jacksma01
Mervin Jackson,1969,1973,G,6-3,175.0,"August 15, 1946",Utah,https://www.basketball-reference.com/players/j/jacksme01.html,jacksme01
Michael Jackson,1988,1990,G,6-2,183.0,"July 13, 1964",Georgetown,https://www.basketball-reference.com/players/j/jacksmi02.html,jacksmi02
Mike Jackson,1973,1976,F,6-7,215.0,"July 31, 1949","California State University, Los Angeles",https://www.basketball-reference.com/players/j/jacksmi01.html,jacksmi01
Myron Jackson,1987,1987,G,6-3,185.0,"May 6, 1964",Little Rock,https://www.basketball-reference.com/players/j/jacksmy01.html,jacksmy01
Phil Jackson*,1968,1980,F-C,6-8,220.0,"September 17, 1945",University of North Dakota,https://www.basketball-reference.com/players/j/jacksph01.html,jacksph01
Pierre Jackson,2017,2017,G,5-10,180.0,"August 29, 1991",Baylor,https://www.basketball-reference.com/players/j/jackspi01.html,jackspi01
Ralph Jackson,1985,1985,G,6-2,190.0,"October 26, 1962",UCLA,https://www.basketball-reference.com/players/j/jacksra01.html,jacksra01
Randell Jackson,1999,2000,F,6-11,215.0,"January 16, 1976",Florida State,https://www.basketball-reference.com/players/j/jacksra02.html,jacksra02
Reggie Jackson,2012,2020,G,6-3,208.0,"April 16, 1990",Boston College,https://www.basketball-reference.com/players/j/jacksre01.html,jacksre01
Stanley Jackson,1994,1994,G,6-3,185.0,"October 10, 1970",UAB,https://www.basketball-reference.com/players/j/jacksst01.html,jacksst01
Stephen Jackson,2001,2014,F-G,6-8,218.0,"April 5, 1978",Butler County Community College,https://www.basketball-reference.com/players/j/jacksst02.html,jacksst02
Tony Jackson,1968,1969,F-G,6-4,200.0,"November 7, 1942",St. John's,https://www.basketball-reference.com/players/j/jacksto01.html,jacksto01
Tony Jackson,1981,1981,G,6-0,170.0,"January 17, 1958",Florida State,https://www.basketball-reference.com/players/j/jacksto02.html,jacksto02
Tracy Jackson,1982,1984,G-F,6-6,205.0,"April 21, 1959",Notre Dame,https://www.basketball-reference.com/players/j/jackstr01.html,jackstr01
Wardell Jackson,1975,1975,F,6-7,200.0,"July 18, 1951",Ohio State,https://www.basketball-reference.com/players/j/jackswa01.html,jackswa01
Fred Jacobs,1947,1947,F,6-3,175.0,"December 2, 1922",Denver,https://www.basketball-reference.com/players/j/jacobfr01.html,jacobfr01
Casey Jacobsen,2003,2008,G-F,6-6,215.0,"March 19, 1981",Stanford,https://www.basketball-reference.com/players/j/jacobca01.html,jacobca01
Sam Jacobson,1999,2001,G-F,6-4,215.0,"July 22, 1975",Minnesota,https://www.basketball-reference.com/players/j/jacobsa01.html,jacobsa01
Dave Jamerson,1991,1994,G-F,6-5,190.0,"August 13, 1967",Ohio University,https://www.basketball-reference.com/players/j/jamerda01.html,jamerda01
